"Region","ZIP_Code","City","County","lat","lon","X2019_estimate"
"northeast",57017,"colman","moody",43.98,-96.81,579
"northeast",57226,"clear lake","deuel",44.76,-96.68,1262
"northeast",57225,"clark","clark",44.88,-97.73,1061
"northeast",57432,"claremont","brown",45.67,-98.02,128
"northeast",57224,"claire city","roberts",45.8571215537206,-97.1039541259793,75
"southeast",57016,"chester","lake",43.9,-96.93,NA
"central",57622,"cherry creek","ziebach",44.6053242344949,-101.500170531568,NA
"southeast",57015,"chancellor","turner",43.37,-96.99,264
"central",57325,"chamberlain","brule",43.79,-99.33,2366
"central",57326,"chamberlain","brule",43.79,-99.33,2366
"southeast",57014,"centerville","turner",43.12,-96.96,872
"northeast",57324,"cavour","beadle",44.37,-98.04,123
"northeast",57223,"castlewood","hamlin",44.72,-97.03,641
"southeast",57323,"carthage","miner",44.17,-97.71,130
"northeast",57322,"carpenter","clark",44.6380388030846,-97.9159080485711,NA
"west",57725,"caputa","pennington",43.9945851637848,-102.98056575633,NA
"southeast",57013,"canton","lincoln",43.3,-96.58,3560
"southeast",57321,"canova","miner",43.88,-97.5,100
"southeast",57012,"canistota","mccook",43.6,-97.29,636
"west",57724,"camp crook","harding",45.55,-103.97,66
"central",57523,"burke","gregory",43.18,-99.29,586
"southeast",57010,"burbank","clay",42.7464097991704,-96.8294772577994,NA
"central",57621,"bullhead","corson",45.77,-101.08,NA
"west",57722,"buffalo gap","custer",43.49,-103.32,144
"west",57720,"buffalo","harding",45.59,-103.54,369
"northeast",57221,"bryant","hamlin",44.59,-97.47,454
"northeast",57220,"bruce","brookings",44.44,-96.89,205
"northeast",57006,"brookings","brookings",44.3,-96.79,24415
"northeast",57007,"brookings","brookings",44.3,-96.79,24415
"northeast",57430,"britton","marshall",45.79,-97.75,1273
"northeast",57219,"bristol","day",45.35,-97.75,308
"southeast",57319,"bridgewater","mccook",43.55,-97.5,461
"northeast",57429,"brentford","spink",45.16,-98.32,80
"northeast",57218,"brandt","deuel",44.67,-96.63,107
"southeast",57005,"brandon","minnehaha",43.59,-96.58,10074
"northeast",57217,"bradley","clark",45.09,-97.64,78
"west",57719,"box elder","pennington",44.11,-103.08,10119
"northeast",57428,"bowdle","edmunds",45.45,-99.66,468
"central",57317,"bonesteel","gregory",43.08,-98.95,273
"central",57522,"blunt","hughes",44.52,-99.99,354
"west",57718,"black hawk","meade",44.1511817951145,-103.308726554247,NA
"west",57620,"bison","perkins",45.52,-102.47,322
"northeast",57216,"big stone city","grant",45.2916734274388,-96.465188651716,456
"southeast",57004,"beresford","union",43.08,-96.78,2026
"west",57521,"belvidere","jackson",43.83,-101.27,57
"west",57717,"belle fourche","butte",44.66,-103.86,5702
"northeast",57427,"bath","brown",45.47,-98.32,NA
"west",57716,"batesland","oglala lakota",43.13,-102.1,114
"northeast",57426,"barnard","brown",45.7328514534461,-98.4969087123668,NA
"southeast",57003,"baltic","minnehaha",43.76,-96.74,1178
"northeast",57214,"badger","kingsbury",44.49,-97.21,101
"southeast",57315,"avon","bon homme",43.01,-98.06,590
"northeast",57002,"aurora","brookings",44.28,-96.69,834
"northeast",57213,"astoria","deuel",44.56,-96.55,135
"northeast",57424,"ashton","spink",44.99,-98.5,124
"northeast",57314,"artesian","sanborn",44.01,-97.92,137
"southeast",57313,"armour","douglas",43.32,-98.34,669
"northeast",57212,"arlington","kingsbury",44.36,-97.13,859
"northeast",57422,"andover","day",45.41,-97.9,82
"northeast",57421,"amherst","marshall",45.7382146787837,-97.9210878757392,NA
"northeast",57312,"alpena","jerauld",44.18,-98.37,285
"west",57714,"allen","bennett",43.28,-101.93,NA
"southeast",57311,"alexandria","hanson",43.65,-97.78,644
"southeast",57001,"alcester","union",43.02,-96.63,755
"central",57420,"akaska","walworth",45.33,-100.12,47
"central",57520,"agar","sully",44.84,-100.07,80
"northeast",57401,"aberdeen","brown",45.46,-98.47,28257
"northeast",57402,"aberdeen","brown",45.46,-98.47,28257
