"Region","ZIP_Code","City","County","lat","lon"
"northeast",57201,"watertown","codington",44.8993260709382,-97.1255263360403
"northeast",57273,"waubay","day",45.33,-97.31
"northeast",57274,"webster","day",45.34,-97.52
"southeast",57075,"wentworth","lake",43.9967938505089,-96.9642218219603
"northeast",57381,"wessington","beadle",44.46,-98.7
"northeast",57382,"wessington springs","jerauld",44.08,-98.57
"northeast",57481,"westport","brown",45.65,-98.5
"northeast",57276,"white","brookings",44.44,-96.65
"central",57383,"white lake","aurora",43.73,-98.71
"west",57792,"white owl","meade",44.5923619169,-102.430935700917
"west",57579,"white river","mellette",43.57,-100.74
"central",57661,"whitehorse","dewey",45.27,-100.9
"west",57793,"whitewood","lawrence",44.46,-103.64
"northeast",57278,"willow lake","clark",44.63,-97.64
"northeast",57279,"wilmot","roberts",45.41,-96.86
"southeast",57076,"winfred","lake",44,-97.36
"central",57580,"winner","tripp",43.38,-99.85
"central",57584,"witten","tripp",43.4405003050316,-100.081935687082
"northeast",57384,"wolsey","beadle",44.41,-98.47
"west",57585,"wood","mellette",43.5,-100.48
"northeast",57385,"woonsocket","sanborn",44.05,-98.27
"southeast",57077,"worthing","lincoln",43.33,-96.77
"west",57794,"wounded knee","oglala lakota",43.14,-102.37
"northeast",57386,"yale","beadle",44.43,-97.99
"southeast",57078,"yankton","yankton",42.89,-97.39
