"Region","ZIP_Code","City","County","lat","lon"
"west",57785,"sturgis","meade",44.41,-103.52
"west",57787,"union center","meade",NA,NA
"west",57792,"white owl","meade",NA,NA
"west",57560,"norris","mellette",43.47,-101.19
"west",57579,"white river","mellette",43.57,-100.74
"west",57585,"wood","mellette",43.5,-100.48
"west",57716,"batesland","oglala lakota",43.13,-102.1
"west",57752,"kyle","oglala lakota",43.42,-102.18
"west",57756,"manderson","oglala lakota",NA,NA
"west",57764,"oglala","oglala lakota",43.18,-102.73
"west",57770,"pine ridge","oglala lakota",43.03,-102.55
"west",57772,"porcupine","oglala lakota",43.27,-102.34
"west",57794,"wounded knee","oglala lakota",43.14,-102.37
"west",57701,"rapid city","pennington",NA,NA
"west",57702,"rapid city","pennington",NA,NA
"west",57703,"rapid city","pennington",NA,NA
"west",57709,"rapid city","pennington",NA,NA
"west",57719,"box elder","pennington",44.11,-103.08
"west",57725,"caputa","pennington",NA,NA
"west",57745,"hill city","pennington",NA,NA
"west",57751,"keystone","pennington",43.9,-103.43
"west",57761,"new underwood","pennington",44.1,-102.84
"west",57767,"owanka","pennington",NA,NA
"west",57775,"quinn","pennington",43.99,-102.13
"west",57780,"scenic","pennington",NA,NA
"west",57790,"wall","pennington",43.99,-102.24
"west",57791,"wasta","pennington",44.07,-102.45
"west",57620,"bison","perkins",45.52,-102.47
"west",57638,"lemmon","perkins",45.94,-102.16
"west",57640,"lodgepole","perkins",NA,NA
"west",57644,"meadow","perkins",NA,NA
"west",57649,"prairie city","perkins",NA,NA
"west",57555,"mission","todd",43.31,-100.66
"west",57563,"okreek","todd",43.35,-100.38
"west",57566,"parmelee","todd",43.32,-101.04
"west",57570,"rosebud","todd",43.24,-100.82
"west",57572,"saint francis","todd",NA,NA
